#req	time (sec)	avg. time (sec)	mapping
305	0.881	0.559	ERR
306	0.559	0.574	ERR
307	0.565	0.574	ERR
308	0.711	0.574	ERR
309	0.559	0.601	ERR
310	0.310	0.562	ERR
311	0.557	0.590	ERR
312	0.170	0.533	ERR
313	1.796	0.670	OK
314	0.589	0.670	ERR
315	0.320	0.614	ERR
316	0.307	0.588	ERR
317	0.610	0.593	ERR
318	0.730	0.595	ERR
319	0.581	0.597	ERR
320	0.735	0.640	ERR
321	0.576	0.642	ERR
322	0.142	0.639	ERR
323	0.593	0.518	ERR
324	0.468	0.506	ERR
325	0.452	0.520	ERR
326	0.307	0.520	ERR
327	0.910	0.549	ERR
328	0.703	0.547	ERR
329	0.562	0.545	ERR
330	0.590	0.530	ERR
331	0.411	0.514	ERR
332	0.708	0.570	ERR
333	0.411	0.552	ERR
334	0.876	0.593	ERR
335	0.310	0.579	ERR
336	0.719	0.620	ERR
337	0.318	0.561	ERR
338	0.586	0.549	ERR
339	1.813	0.674	OK
340	0.444	0.660	ERR
341	0.569	0.675	ERR
342	0.411	0.646	ERR
343	0.728	0.677	ERR
344	0.570	0.647	ERR
345	1.932	0.809	OK
346	0.727	0.810	ERR
347	0.557	0.834	ERR
348	0.473	0.822	ERR
349	0.411	0.682	ERR
350	0.539	0.692	ERR
351	0.314	0.666	ERR
352	0.406	0.666	ERR
353	0.453	0.638	ERR
354	0.719	0.653	ERR
355	0.295	0.489	ERR
356	0.286	0.445	ERR
357	0.720	0.462	ERR
358	0.294	0.444	ERR
359	0.421	0.445	ERR
360	0.580	0.449	ERR
361	0.716	0.489	ERR
362	0.566	0.505	ERR
363	0.727	0.532	ERR
364	1.749	0.635	OK
365	0.413	0.647	ERR
366	0.562	0.675	ERR
367	1.825	0.785	OK
368	0.411	0.797	ERR
369	1.813	0.936	OK
370	0.722	0.950	ERR
371	0.413	0.920	ERR
372	0.412	0.905	ERR
373	0.294	0.861	ERR
374	0.576	0.744	ERR
375	0.552	0.758	ERR
376	0.704	0.772	ERR
377	0.698	0.659	ERR
378	0.411	0.659	ERR
379	0.561	0.534	ERR
380	0.586	0.521	ERR
381	0.596	0.539	ERR
382	0.412	0.539	ERR
383	0.849	0.594	ERR
384	0.708	0.608	ERR
385	0.707	0.623	ERR
386	1.767	0.729	OK
387	0.413	0.701	ERR
388	0.871	0.747	ERR
389	0.436	0.734	ERR
390	0.585	0.734	ERR
391	0.411	0.716	ERR
392	0.720	0.747	ERR
393	0.564	0.718	ERR
394	0.843	0.732	ERR
395	0.702	0.731	ERR
396	0.419	0.596	ERR
397	0.848	0.640	ERR
398	0.411	0.594	ERR
399	0.709	0.621	ERR

---- Final results ----
400 NS requests
372 failed requests
28 success requests
262.658 ellapsed time
