#req	time (sec)	avg. time (sec)	mapping
344	9.740	9.507	OK
345	15.689	11.074	OK
346	0.031	11.075	ERR
347	5.092	9.299	OK
348	0.010	9.298	ERR
349	0.016	9.298	ERR
350	0.019	7.501	ERR
351	0.020	5.746	ERR
352	11.804	5.077	OK
353	2.260	4.468	OK
354	0.021	3.496	ERR
355	0.024	1.930	ERR
356	0.021	1.929	ERR
357	16.183	3.038	OK
358	9.639	4.001	OK
359	0.016	4.001	ERR
360	0.019	4.001	ERR
361	16.548	5.653	OK
362	9.592	5.432	OK
363	16.632	6.869	OK
364	8.151	7.682	OK
365	17.695	9.450	OK
366	0.016	9.449	ERR
367	0.017	7.832	ERR
368	0.010	6.869	ERR
369	0.015	6.869	ERR
370	1.090	6.976	OK
371	3.112	5.633	OK
372	0.019	4.676	ERR
373	0.020	3.014	ERR
374	0.016	2.201	ERR
375	0.021	0.433	ERR
376	11.176	1.550	OK
377	0.027	1.550	ERR
378	9.496	2.499	OK
379	0.023	2.500	ERR
380	0.019	2.393	ERR
381	0.018	2.083	ERR
382	0.009	2.083	ERR
383	0.025	2.083	ERR
384	3.427	2.424	OK
385	0.018	2.424	ERR
386	0.030	1.309	ERR
387	0.030	1.310	ERR
388	0.015	0.362	ERR
389	0.776	0.437	ERR
390	17.557	2.191	OK
391	0.031	2.192	ERR
392	11.622	3.353	OK
393	3.001	3.651	OK
394	0.021	3.310	ERR
395	0.016	3.310	ERR
396	0.018	3.309	ERR
397	0.018	3.308	ERR
398	16.082	4.914	OK
399	0.019	4.838	ERR

---- Final results ----
400 NS requests
239 failed requests
161 success requests
43 improved requests
1489.685 ellapsed time
