#req	time (sec)	avg. time (sec)	mapping
318	0.024	3.400	ERR
319	0.010	2.496	ERR
320	0.016	2.495	ERR
321	0.019	2.494	ERR
322	0.018	2.494	ERR
323	0.032	1.861	ERR
324	0.246	1.884	ERR
325	2.004	2.084	OK
326	0.016	1.039	ERR
327	0.031	0.242	ERR
328	8.042	1.043	OK
329	0.021	1.045	ERR
330	0.022	1.045	ERR
331	0.024	1.046	ERR
332	0.016	1.045	ERR
333	0.032	1.045	ERR
334	3.374	1.358	OK
335	0.016	1.159	ERR
336	0.026	1.160	ERR
337	10.521	2.209	OK
338	0.019	1.407	ERR
339	0.016	1.406	ERR
340	9.289	2.333	OK
341	14.725	3.803	OK
342	10.233	4.825	OK
343	4.644	5.286	OK
344	0.032	4.952	ERR
345	10.630	6.013	OK
346	0.032	6.014	ERR
347	2.898	5.252	OK
348	0.010	5.251	ERR
349	0.016	5.251	ERR
350	0.019	4.324	ERR
351	0.021	2.853	ERR
352	6.312	2.461	OK
353	4.199	2.417	OK
354	0.022	2.416	ERR
355	0.024	1.355	ERR
356	0.021	1.354	ERR
357	0.326	1.097	ERR
358	7.310	1.827	OK
359	0.016	1.827	ERR
360	0.019	1.827	ERR
361	12.645	3.090	OK
362	15.312	3.990	OK
363	0.120	3.582	ERR
364	8.318	4.411	OK
365	9.077	5.317	OK
366	0.016	5.316	ERR
367	0.017	5.285	ERR
368	0.010	4.555	ERR
369	0.016	4.555	ERR
370	1.963	4.749	OK
371	8.452	4.330	OK
372	0.019	2.801	ERR
373	0.021	2.791	ERR
374	0.016	1.961	ERR
375	0.022	1.055	ERR
376	6.148	1.668	OK
377	0.026	1.669	ERR
378	4.397	2.108	OK
379	0.024	2.109	ERR
380	0.019	1.914	ERR
381	0.019	1.071	ERR
382	0.387	1.108	ERR
383	0.026	1.108	ERR
384	10.361	2.143	OK
385	0.019	2.143	ERR
386	6.324	2.160	OK
387	0.031	2.161	ERR
388	0.016	1.723	ERR
389	0.415	1.762	ERR
390	3.961	2.156	OK
391	0.032	2.157	ERR
392	0.290	2.147	ERR
393	0.924	2.237	ERR
394	0.022	1.203	ERR
395	0.016	1.203	ERR
396	0.018	0.572	ERR
397	0.019	0.571	ERR
398	14.698	2.039	OK
399	0.019	2.000	ERR

---- Final results ----
400 NS requests
243 failed requests
157 success requests
51 improved requests
988.458 ellapsed time
