#req	time (sec)	avg. time (sec)	mapping
305	0.014	4.730	ERR
306	0.016	4.621	ERR
307	23.414	6.960	OK
308	0.260	6.984	OK
309	5.040	6.378	OK
310	0.024	5.531	ERR
311	0.021	4.904	ERR
312	0.020	4.830	ERR
313	24.106	7.238	OK
314	0.015	5.293	ERR
315	0.009	5.292	ERR
316	0.009	5.292	ERR
317	8.690	3.819	OK
318	0.024	3.796	ERR
319	0.009	3.293	ERR
320	0.015	3.292	ERR
321	0.019	3.292	ERR
322	0.018	3.291	ERR
323	0.031	0.884	ERR
324	0.030	0.885	ERR
325	9.808	1.865	OK
326	0.016	1.866	ERR
327	0.031	1.000	ERR
328	14.068	2.404	OK
329	0.020	2.405	ERR
330	0.021	2.406	ERR
331	0.023	2.406	ERR
332	0.016	2.406	ERR
333	0.031	2.406	ERR
334	2.393	2.643	OK
335	0.015	1.663	ERR
336	0.025	1.664	ERR
337	15.422	3.203	OK
338	0.018	1.798	ERR
339	0.015	1.798	ERR
340	12.217	3.018	OK
341	11.177	4.133	OK
342	26.042	6.735	OK
343	10.121	7.745	OK
344	8.105	8.316	OK
345	12.594	9.574	OK
346	0.030	9.574	ERR
347	4.820	8.514	OK
348	0.009	8.513	ERR
349	0.015	8.513	ERR
350	0.019	7.293	ERR
351	0.020	6.178	ERR
352	1.217	3.695	OK
353	1.278	2.811	OK
354	0.021	2.002	ERR
355	0.024	0.745	ERR
356	0.021	0.744	ERR
357	0.562	0.319	ERR
358	0.651	0.383	ERR
359	0.016	0.383	ERR
360	0.019	0.383	ERR
361	18.716	2.252	OK
362	18.446	3.975	OK
363	19.564	5.804	OK
364	9.060	6.708	OK
365	1.375	6.843	ERR
366	0.016	6.843	ERR
367	0.017	6.788	ERR
368	0.010	6.724	ERR
369	0.015	6.724	ERR
370	0.794	6.801	OK
371	2.733	5.203	OK
372	0.019	3.360	ERR
373	0.020	1.406	ERR
374	0.016	0.501	ERR
375	0.021	0.366	ERR
376	11.689	1.533	OK
377	0.025	1.534	ERR
378	9.130	2.446	OK
379	0.024	2.447	ERR
380	0.019	2.370	ERR
381	0.018	2.098	ERR
382	0.009	2.097	ERR
383	0.025	2.098	ERR
384	2.549	2.351	OK
385	0.019	2.351	ERR
386	0.031	1.185	ERR
387	0.030	1.185	ERR
388	0.015	0.274	ERR
389	0.394	0.311	ERR
390	6.527	0.962	OK
391	0.030	0.963	ERR
392	14.371	2.399	OK
393	26.746	5.071	OK
394	0.022	4.818	ERR
395	0.016	4.818	ERR
396	0.018	4.817	ERR
397	0.019	4.816	ERR
398	27.159	7.530	OK
399	0.019	7.493	ERR

---- Final results ----
400 NS requests
247 failed requests
153 success requests
36 improved requests
1404.046 ellapsed time
